gene_id,GO,level
Solyc01g094280,GO:0004488,molecular_function
Solyc01g094280,GO:0055114,biological_process
Solyc01g094290,GO:0006813,biological_process
Solyc01g094340,GO:0003989,molecular_function
Solyc01g094340,GO:0006633,biological_process
Solyc01g094340,GO:0009317,cellular_component
Solyc01g094350,GO:0003676,molecular_function
Solyc01g094350,GO:0005524,molecular_function
Solyc01g094400,GO:0003779,molecular_function
Solyc01g094400,GO:0005622,cellular_component
Solyc01g094480,GO:0005515,molecular_function
Solyc01g094500,GO:0008703,molecular_function
Solyc01g094500,GO:0009231,biological_process
Solyc01g094500,GO:0055114,biological_process
Solyc01g094520,GO:0005515,molecular_function
Solyc01g094560,GO:0003735,molecular_function
Solyc01g094560,GO:0005622,cellular_component
Solyc01g094560,GO:0005840,cellular_component
Solyc01g094560,GO:0006412,biological_process
Solyc01g094570,GO:0006629,biological_process
Solyc01g094580,GO:0000272,biological_process
Solyc01g094580,GO:0016161,molecular_function
Solyc01g094590,GO:0016491,molecular_function
Solyc01g094590,GO:0055114,biological_process
Solyc01g094610,GO:0005089,molecular_function
Solyc01g094620,GO:0003712,molecular_function
Solyc01g094620,GO:0006357,biological_process
Solyc01g094620,GO:0016592,cellular_component
Solyc01g094660,GO:0004842,molecular_function
Solyc01g094660,GO:0016567,biological_process
Solyc01g094680,GO:0004190,molecular_function
Solyc01g094680,GO:0016021,cellular_component
Solyc01g094690,GO:0015267,molecular_function
Solyc01g094690,GO:0016020,cellular_component
Solyc01g094690,GO:0055085,biological_process
Solyc01g094700,GO:0016746,molecular_function
Solyc01g094720,GO:0016021,cellular_component
Solyc01g094720,GO:0055085,biological_process
Solyc01g094723,GO:0006508,biological_process
Solyc01g094723,GO:0008234,molecular_function
Solyc01g094750,GO:0005506,molecular_function
Solyc01g094750,GO:0016705,molecular_function
Solyc01g094750,GO:0020037,molecular_function
Solyc01g094750,GO:0055114,biological_process
Solyc01g094760,GO:0000808,cellular_component
Solyc01g094760,GO:0005634,cellular_component
Solyc01g094760,GO:0006260,biological_process
Solyc01g094800,GO:0005524,molecular_function
Solyc01g094800,GO:0005634,cellular_component
Solyc01g094800,GO:0006355,biological_process
Solyc01g094820,GO:0003677,molecular_function
Solyc01g094830,GO:0004672,molecular_function
Solyc01g094830,GO:0005524,molecular_function
Solyc01g094830,GO:0006468,biological_process
Solyc01g094840,GO:0008270,molecular_function
Solyc01g094860,GO:0016021,cellular_component
Solyc01g094890,GO:0016491,molecular_function
Solyc01g094890,GO:0055114,biological_process
Solyc01g094910,GO:0016491,molecular_function
Solyc01g094910,GO:0055114,biological_process
Solyc01g094930,GO:0004222,molecular_function
Solyc01g094930,GO:0006508,biological_process
Solyc01g094940,GO:0004672,molecular_function
Solyc01g094940,GO:0005524,molecular_function
Solyc01g094940,GO:0006468,biological_process
Solyc01g094960,GO:0004672,molecular_function
Solyc01g094960,GO:0005524,molecular_function
Solyc01g094960,GO:0006468,biological_process
Solyc01g094970,GO:0004650,molecular_function
Solyc01g094970,GO:0005975,biological_process
Solyc01g095010,GO:0016301,molecular_function
Solyc01g095040,GO:0051287,molecular_function
Solyc01g095040,GO:0055114,biological_process
Solyc01g095080,GO:0009058,biological_process
Solyc01g095080,GO:0030170,molecular_function
Solyc01g095100,GO:0003700,molecular_function
Solyc01g095100,GO:0006355,biological_process
Solyc01g095100,GO:0043565,molecular_function
Solyc01g095160,GO:0008270,molecular_function
Solyc01g095190,GO:0008168,molecular_function
Solyc01g095250,GO:0005975,biological_process
Solyc01g095260,GO:0005975,biological_process
Solyc01g095310,GO:0005975,biological_process
Solyc01g095320,GO:0051087,molecular_function
Solyc01g095370,GO:0005515,molecular_function
Solyc01g095400,GO:0005515,molecular_function
Solyc01g095410,GO:0003723,molecular_function
Solyc01g095410,GO:0003743,molecular_function
Solyc01g095410,GO:0006413,biological_process
Solyc01g095450,GO:0016788,molecular_function
Solyc01g095460,GO:0003700,molecular_function
Solyc01g095460,GO:0006355,biological_process
Solyc01g095470,GO:0005975,biological_process
Solyc01g095470,GO:0016853,molecular_function
Solyc01g095500,GO:0003700,molecular_function
Solyc01g095500,GO:0006355,biological_process
Solyc01g095540,GO:0000139,cellular_component
Solyc01g095540,GO:0015165,molecular_function
Solyc01g095540,GO:0016021,cellular_component
Solyc01g095540,GO:0090481,biological_process
Solyc01g095550,GO:0004672,molecular_function
Solyc01g095550,GO:0006468,biological_process
Solyc01g095620,GO:0016758,molecular_function
Solyc01g095630,GO:0003700,molecular_function
Solyc01g095630,GO:0006355,biological_process
Solyc01g095630,GO:0043565,molecular_function
Solyc01g095650,GO:0000786,cellular_component
Solyc01g095650,GO:0003677,molecular_function
Solyc01g095690,GO:0008270,molecular_function
Solyc01g095710,GO:0003676,molecular_function
Solyc01g095710,GO:0005524,molecular_function
Solyc01g095720,GO:0006629,biological_process
Solyc01g095730,GO:0016779,molecular_function
Solyc01g095740,GO:0003676,molecular_function
Solyc01g095740,GO:0005524,molecular_function
Solyc01g095750,GO:0003824,molecular_function
Solyc01g095760,GO:0016758,molecular_function
Solyc01g095770,GO:0005216,molecular_function
Solyc01g095770,GO:0006811,biological_process
Solyc01g095770,GO:0016020,cellular_component
Solyc01g095770,GO:0055085,biological_process
Solyc01g095800,GO:0005515,molecular_function
Solyc01g095810,GO:0030247,molecular_function
Solyc01g095830,GO:0030247,molecular_function
Solyc01g095840,GO:0030247,molecular_function
Solyc01g095850,GO:0030247,molecular_function
Solyc01g095860,GO:0030247,molecular_function
Solyc01g095880,GO:0003677,molecular_function
Solyc01g095890,GO:0005515,molecular_function
Solyc01g095930,GO:0004144,molecular_function
Solyc01g095930,GO:0045017,biological_process
Solyc01g095960,GO:0004144,molecular_function
Solyc01g095960,GO:0045017,biological_process
Solyc01g095970,GO:0005525,molecular_function
Solyc01g095990,GO:0005515,molecular_function
Solyc01g096020,GO:0005634,cellular_component
Solyc01g096020,GO:0006511,biological_process
Solyc01g096020,GO:0007275,biological_process
Solyc01g096030,GO:0009411,biological_process
Solyc01g096050,GO:0046983,molecular_function
Solyc01g096060,GO:0005515,molecular_function
Solyc01g096060,GO:0008536,molecular_function
Solyc01g096070,GO:0003677,molecular_function
Solyc01g096070,GO:0005634,cellular_component
